name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
california,2019-09-04,95.9,61.8,77.8,93,61.8,76.7,53.6,48.2,0,0,0,,0,0,,9.8,255.5,1010.1,6.6,9.9,310.3,26.6,10,,2019-09-04T06:37:41,2019-09-04T19:31:40,0.18,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-09-05,88.6,63,73.5,85.5,63,73.1,54.5,54.1,0,0,0,,0,0,17.2,12.8,192.1,1012.5,11.9,9.9,280.6,24.1,10,,2019-09-05T06:38:33,2019-09-05T19:30:07,0.25,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-09-06,90.3,60.1,72.7,86.8,60.1,72,54.3,58.2,0,0,0,,0,0,16.1,9.7,195.7,1015.9,0.8,9.9,323.8,28,10,,2019-09-06T06:39:26,2019-09-06T19:28:34,0.25,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-09-07,76.4,58.7,66.8,76.4,58.7,66.8,55.5,68.5,0,0,0,,0,0,27.7,16.2,187.1,1014.2,17,9.9,285,24.6,9,,2019-09-07T06:40:18,2019-09-07T19:27:01,0.28,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-09-08,82.9,57.2,69,81.4,57.2,68.8,54.4,62.7,0,0,0,,0,0,,10.7,196.9,1013.7,0,9.9,308.7,26.5,10,,2019-09-08T06:41:11,2019-09-08T19:25:27,0.32,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-09-09,84.5,57.3,69.3,82.6,57.3,69.1,53.9,61.2,0,0,0,,0,0,29.8,12.2,197.5,1011.5,4.2,9.9,305.9,26.3,10,,2019-09-09T06:42:04,2019-09-09T19:23:53,0.35,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-09-10,82.4,57.3,68.3,80.7,57.3,68.2,51.6,58.5,0,0,0,,0,0,,7.8,163.6,1011.3,1.3,9.9,304.5,26.3,10,,2019-09-10T06:42:56,2019-09-10T19:22:19,0.38,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-09-11,88.9,55.9,71.4,85.5,55.9,70.6,51.1,55.2,0,0,0,,0,0,17.2,11.4,335,1015.2,1,9.9,303.9,26.1,10,,2019-09-11T06:43:49,2019-09-11T19:20:44,0.42,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-09-12,92.5,56.3,73.9,89,56.3,73,51.7,51.3,0,0,0,,0,0,,5.4,326.8,1015.5,0.9,9.9,295,25.6,10,,2019-09-12T06:44:41,2019-09-12T19:19:10,0.45,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-09-13,96.9,57.6,76.7,92.4,57.6,75.4,50.1,47.5,0,0,0,,0,0,,6,311.6,1014.2,3.7,9.9,299.5,25.8,10,,2019-09-13T06:45:34,2019-09-13T19:17:35,0.5,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-09-14,96.9,60.6,77.7,93,60.6,76.5,49.3,41,0,0,0,,0,0,,9.8,193.7,1011.7,0,9.8,293,25.4,10,,2019-09-14T06:46:27,2019-09-14T19:15:59,0.52,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-09-15,84.6,59,70.6,82.6,59,70.2,53.4,57.7,0,0,0,,0,0,30.6,17.3,192,1009.1,24.1,9.9,292.9,25.2,10,,2019-09-15T06:47:19,2019-09-15T19:14:24,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-09-16,77.9,61.3,68.4,77.9,61.3,68.4,55,66.4,0.08,100,16.67,rain,0,0,20.8,13,209,1011.9,52.4,9.8,203.8,17.5,9,,2019-09-16T06:48:12,2019-09-16T19:12:49,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KSMF,TS389,72483023232,72483993225,72483323206,AN063,KSAC,CI155,72057600174"
california,2019-09-17,80,53.1,66.3,80,53.1,66.3,49.8,60.4,0,0,0,,0,0,,10.2,243.8,1015.5,2.6,9.9,285.3,24.7,10,,2019-09-17T06:49:05,2019-09-17T19:11:13,0.62,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
